Student,Login_Count,Chat_Rounds,Total_Words
11.2105263157894,1,1,1
9.5,1,1,1
2,1,3,3
2.33333333333333,1,2,2
4.75,1,1,1
1,1,2,2
4.33333333333333,1,1,1
5,1,1,1
10,1,1,1
12.3,1,1,1
6.28571428571428,1,1,1
3,1,1,1
6.83333333333333,1,1,1
5.45454545454545,1,1,1
17.8333333333333,1,1,1
1.66666666666666,1,1,1
5.57142857142857,1,1,1
2.25,1,1,1
15.625,1,1,1
8.2,1,1,1
7.64285714285714,1,1,1
10.551724137931,1,1,1
15.9705882352941,1,1,1
2.2,1,1,1
2.9047619047619,1,1,1
62.2222222222222,1,1,1
2.58333333333333,1,1,1
7.125,1,1,1
12.5833333333333,1,1,1
26.1875,1,1,1
25.5333333333333,1,1,1
14.0588235294117,1,1,1
2.53846153846153,1,1,1
1.8,1,1,1
13.047619047619,1,1,1
1.69230769230769,1,1,1
